Név,Dátum,Nyitó ár,Maximum ár,Minimum ár,Utolsó ár
BUX,2016.02.08.,23648.648148,23766.96523,23262.31565,23262.31565
BUX,2016.02.09.,23262.125001,23517.459166,22513.736112,22571.804262
BUX,2016.02.10.,22566.404089,23105.999703,22566.404089,22888.514894
BUX,2016.02.11.,22909.979103,22909.979103,22509.678057,22536.030074
BUX,2016.02.12.,22535.585997,22843.114663,22535.585997,22705.285728
BUX,2016.02.15.,22705.729805,23155.286415,22705.729805,23065.928715
BUX,2016.02.16.,23080.230317,23165.430573,22854.9078,23013.877523
BUX,2016.02.17.,23020.411061,23054.143177,22764.239323,22846.81861
BUX,2016.02.18.,22865.476507,23168.808852,22715.26039,23162.246114
BUX,2016.02.19.,23163.194782,23174.809699,23022.521781,23171.794164
BUX,2016.02.22.,23212.388657,23393.836599,23171.794164,23332.713408
BUX,2016.02.23.,23297.398067,23297.398067,23119.105377,23171.969676
BUX,2016.02.24.,23196.20835,23197.49652,22862.29186,22940.842862
BUX,2016.02.25.,22988.619808,23411.489891,22940.842862,23323.676751
BUX,2016.02.26.,23345.596618,23657.791274,23345.596618,23657.791274
BUX,2016.02.29.,23579.257448,23658.062322,23327.943758,23327.943758
BUX,2016.03.01.,23374.102299,23670.95404,23329.22772,23670.95404
BUX,2016.03.02.,23729.344594,24151.988301,23671.225088,24094.215522
BUX,2016.03.03.,24123.662104,24377.959784,24092.995806,24360.05466
BUX,2016.03.04.,24358.953624,24808.297124,24223.840335,24735.232281
BUX,2016.03.07.,24735.95524,24978.329815,24637.629061,24911.308482
BUX,2016.03.08.,24890.606385,25255.401531,24826.053814,25255.401531
BUX,2016.03.09.,25261.183,25456.76259,25205.037702,25345.768257
BUX,2016.03.10.,25341.064717,25504.3569,25247.152438,25254.65113
BUX,2016.03.11.,25315.422915,25731.267239,25309.450797,25608.694812
BUX,2016.03.16.,25587.11226,25630.614679,25449.013175,25613.81197
BUX,2016.03.17.,25674.933957,26146.671692,25674.933957,25770.704544
