Név,Dátum,Nyitó ár,Maximum ár,Minimum ár,Utolsó ár
BUX,1991.01.02.,,,,1000.0
BUX,1991.01.03.,,,,1001.02
BUX,1991.01.04.,,,,996.33
BUX,1991.01.07.,,,,997.06
BUX,1991.01.08.,,,,1001.91
BUX,1991.01.09.,,,,997.92
BUX,1991.01.10.,,,,1000.65
BUX,1991.01.11.,,,,1004.69
BUX,1991.01.14.,,,,990.62
BUX,1991.01.15.,,,,991.61
BUX,1991.01.16.,,,,990.74
BUX,1991.01.17.,,,,990.36
BUX,1991.01.18.,,,,996.49
BUX,1991.01.21.,,,,1014.75
BUX,1991.01.22.,,,,1025.55
BUX,1991.01.23.,,,,1032.34
BUX,1991.01.24.,,,,1056.37
BUX,1991.01.25.,,,,1056.3
BUX,1991.01.28.,,,,1056.37
BUX,1991.01.29.,,,,1058.75
BUX,1991.01.30.,,,,1063.61
BUX,1991.01.31.,,,,1068.12
BUX,1991.02.01.,,,,1072.53
BUX,1991.02.04.,,,,1078.03
BUX,1991.02.05.,,,,1107.41
BUX,1991.02.06.,,,,1120.44
BUX,1991.02.07.,,,,1100.91
BUX,1991.02.08.,,,,1082.15
BUX,1991.02.11.,,,,1067.8
BUX,1991.02.12.,,,,1065.4
BUX,1991.02.13.,,,,1059.57
BUX,1991.02.14.,,,,1054.49
BUX,1991.02.15.,,,,1050.34
BUX,1991.02.18.,,,,1048.75
BUX,1991.02.19.,,,,1056.22
BUX,1991.02.20.,,,,1031.39
BUX,1991.02.21.,,,,1022.83
BUX,1991.02.22.,,,,1047.96
BUX,1991.02.25.,,,,1043.19
BUX,1991.02.26.,,,,1053.61
BUX,1991.02.27.,,,,1078.4
BUX,1991.02.28.,,,,1111.12
BUX,1991.03.01.,,,,1103.88
BUX,1991.03.04.,,,,1097.12
BUX,1991.03.05.,,,,1131.75
BUX,1991.03.06.,,,,1165.5
BUX,1991.03.07.,,,,1175.07
BUX,1991.03.08.,,,,1177.65
BUX,1991.03.11.,,,,1170.04
BUX,1991.03.12.,,,,1192.31
BUX,1991.03.13.,,,,1203.68
BUX,1991.03.14.,,,,1199.65
BUX,1991.03.18.,,,,1211.73
BUX,1991.03.19.,,,,1185.06
BUX,1991.03.20.,,,,1191.24
BUX,1991.03.21.,,,,1188.47
BUX,1991.03.22.,,,,1193.19
BUX,1991.03.25.,,,,1178.62
BUX,1991.03.26.,,,,1177.27
BUX,1991.03.27.,,,,1173.57
BUX,1991.03.28.,,,,1180.8
BUX,1991.03.29.,,,,1187.46
BUX,1991.04.02.,,,,1184.38
BUX,1991.04.03.,,,,1192.15
BUX,1991.04.04.,,,,1186.98
BUX,1991.04.05.,,,,1184.1
BUX,1991.04.08.,,,,1167.67
BUX,1991.04.09.,,,,1179.22
BUX,1991.04.10.,,,,1184.42
BUX,1991.04.11.,,,,1206.95
BUX,1991.04.12.,,,,1214.56
BUX,1991.04.15.,,,,1191.61
BUX,1991.04.16.,,,,1194.31
BUX,1991.04.17.,,,,1197.18
BUX,1991.04.18.,,,,1191.58
BUX,1991.04.19.,,,,1196.38
BUX,1991.04.22.,,,,1192.46
BUX,1991.04.23.,,,,1184.16
BUX,1991.04.24.,,,,1187.29
BUX,1991.04.25.,,,,1206.76
BUX,1991.04.26.,,,,1200.44
BUX,1991.04.29.,,,,1193.08
BUX,1991.04.30.,,,,1193.1
BUX,1991.05.02.,,,,1191.64
BUX,1991.05.03.,,,,1181.7
BUX,1991.05.06.,,,,1175.39
BUX,1991.05.07.,,,,1176.3
BUX,1991.05.08.,,,,1158.64
BUX,1991.05.09.,,,,1153.07
BUX,1991.05.10.,,,,1148.47
BUX,1991.05.13.,,,,1150.81
BUX,1991.05.14.,,,,1161.53
BUX,1991.05.15.,,,,1154.01
BUX,1991.05.16.,,,,1152.62
BUX,1991.05.17.,,,,1150.99
BUX,1991.05.20.,,,,1157.02
BUX,1991.05.21.,,,,1160.56
BUX,1991.05.22.,,,,1160.31
BUX,1991.05.23.,,,,1154.03
BUX,1991.05.24.,,,,1145.7
BUX,1991.05.27.,,,,1137.8
BUX,1991.05.28.,,,,1123.93
BUX,1991.05.29.,,,,1122.67
BUX,1991.05.30.,,,,1120.3
BUX,1991.05.31.,,,,1115.18
BUX,1991.06.03.,,,,1123.72
BUX,1991.06.04.,,,,1129.76
BUX,1991.06.05.,,,,1127.35
BUX,1991.06.06.,,,,1126.87
BUX,1991.06.07.,,,,1123.15
BUX,1991.06.10.,,,,1122.45
BUX,1991.06.11.,,,,1125.54
BUX,1991.06.12.,,,,1118.3
BUX,1991.06.13.,,,,1116.68
BUX,1991.06.14.,,,,1110.92
BUX,1991.06.17.,,,,1103.97
BUX,1991.06.18.,,,,1099.81
BUX,1991.06.19.,,,,1105.45
BUX,1991.06.20.,,,,1110.39
BUX,1991.06.21.,,,,1117.32
BUX,1991.06.24.,,,,1098.25
BUX,1991.06.25.,,,,1090.25
BUX,1991.06.26.,,,,1080.99
BUX,1991.06.27.,,,,1073.91
BUX,1991.06.28.,,,,1063.03
BUX,1991.07.01.,,,,1061.55
BUX,1991.07.02.,,,,1064.57
BUX,1991.07.03.,,,,1060.45
BUX,1991.07.04.,,,,1051.42
BUX,1991.07.05.,,,,1035.45
BUX,1991.07.08.,,,,1020.5
BUX,1991.07.09.,,,,1016.14
BUX,1991.07.10.,,,,997.21
BUX,1991.07.11.,,,,1007.2
BUX,1991.07.12.,,,,1020.08
BUX,1991.07.15.,,,,1018.48
BUX,1991.07.16.,,,,1013.25
BUX,1991.07.17.,,,,1009.9
BUX,1991.07.18.,,,,1009.15
BUX,1991.07.19.,,,,1004.78
BUX,1991.07.22.,,,,1000.27
BUX,1991.07.23.,,,,993.42
BUX,1991.07.24.,,,,987.77
BUX,1991.07.25.,,,,983.5
BUX,1991.07.26.,,,,977.63
BUX,1991.07.29.,,,,990.86
BUX,1991.07.30.,,,,987.71
BUX,1991.07.31.,,,,982.48
BUX,1991.08.01.,,,,983.57
BUX,1991.08.02.,,,,972.15
BUX,1991.08.05.,,,,962.61
BUX,1991.08.06.,,,,962.12
BUX,1991.08.07.,,,,956.4
BUX,1991.08.08.,,,,958.74
BUX,1991.08.09.,,,,956.82
BUX,1991.08.12.,,,,952.78
BUX,1991.08.13.,,,,951.84
BUX,1991.08.14.,,,,952.75
BUX,1991.08.15.,,,,953.45
BUX,1991.08.16.,,,,952.04
BUX,1991.08.21.,,,,895.75
BUX,1991.08.22.,,,,919.22
BUX,1991.08.23.,,,,934.9
BUX,1991.08.26.,,,,939.32
BUX,1991.08.27.,,,,942.62
BUX,1991.08.28.,,,,945.07
BUX,1991.08.29.,,,,943.24
BUX,1991.08.30.,,,,936.42
BUX,1991.09.02.,,,,935.79
BUX,1991.09.03.,,,,912.55
BUX,1991.09.04.,,,,920.49
BUX,1991.09.05.,,,,922.23
BUX,1991.09.06.,,,,917.84
BUX,1991.09.09.,,,,921.79
BUX,1991.09.10.,,,,913.64
BUX,1991.09.11.,,,,919.33
BUX,1991.09.12.,,,,914.12
BUX,1991.09.13.,,,,919.84
BUX,1991.09.16.,,,,912.99
BUX,1991.09.17.,,,,913.79
BUX,1991.09.18.,,,,911.39
BUX,1991.09.19.,,,,904.94
BUX,1991.09.20.,,,,907.81
BUX,1991.09.23.,,,,894.6
BUX,1991.09.24.,,,,884.12
BUX,1991.09.25.,,,,873.93
BUX,1991.09.26.,,,,880.2
BUX,1991.09.27.,,,,878.76
BUX,1991.09.30.,,,,866.43
BUX,1991.10.01.,,,,866.05
BUX,1991.10.02.,,,,864.68
BUX,1991.10.03.,,,,863.27
BUX,1991.10.04.,,,,863.7
BUX,1991.10.07.,,,,862.58
BUX,1991.10.08.,,,,860.94
BUX,1991.10.09.,,,,860.41
BUX,1991.10.10.,,,,853.07
BUX,1991.10.11.,,,,841.14
BUX,1991.10.14.,,,,821.94
BUX,1991.10.15.,,,,822.09
BUX,1991.10.16.,,,,820.06
BUX,1991.10.17.,,,,824.27
BUX,1991.10.18.,,,,826.35
BUX,1991.10.21.,,,,828.23
BUX,1991.10.22.,,,,834.9
BUX,1991.10.24.,,,,838.34
BUX,1991.10.25.,,,,829.69
BUX,1991.10.28.,,,,829.43
BUX,1991.10.29.,,,,826.78
BUX,1991.10.30.,,,,829.8
BUX,1991.10.31.,,,,831.11
BUX,1991.11.01.,,,,836.75
BUX,1991.11.04.,,,,836.62
BUX,1991.11.05.,,,,835.39
BUX,1991.11.06.,,,,835.79
BUX,1991.11.07.,,,,832.97
BUX,1991.11.08.,,,,843.19
BUX,1991.11.11.,,,,849.1
BUX,1991.11.12.,,,,849.79
BUX,1991.11.13.,,,,856.52
BUX,1991.11.14.,,,,851.72
BUX,1991.11.15.,,,,853.1
BUX,1991.11.18.,,,,846.74
BUX,1991.11.19.,,,,842.71
BUX,1991.11.20.,,,,840.19
BUX,1991.11.21.,,,,828.89
BUX,1991.11.22.,,,,822.33
BUX,1991.11.25.,,,,826.5
BUX,1991.11.26.,,,,822.97
BUX,1991.11.27.,,,,813.38
BUX,1991.11.28.,,,,814.34
BUX,1991.11.29.,,,,813.86
BUX,1991.12.02.,,,,814.6
BUX,1991.12.03.,,,,815.31
BUX,1991.12.04.,,,,815.61
BUX,1991.12.05.,,,,815.09
BUX,1991.12.06.,,,,817.22
BUX,1991.12.09.,,,,819.75
BUX,1991.12.10.,,,,818.73
BUX,1991.12.11.,,,,797.69
BUX,1991.12.12.,,,,819.07
BUX,1991.12.13.,,,,818.7
BUX,1991.12.16.,,,,818.82
BUX,1991.12.17.,,,,820.31
BUX,1991.12.18.,,,,851.96
BUX,1991.12.19.,,,,829.83
BUX,1991.12.20.,,,,830.84
BUX,1991.12.23.,,,,834.27
BUX,1991.12.27.,,,,839.82
BUX,1991.12.28.,,,,848.46
BUX,1991.12.30.,,,,852.28
BUX,1991.12.31.,,,,837.6
BUX,1992.01.06.,,,,838.26
BUX,1992.01.07.,,,,837.07
BUX,1992.01.08.,,,,837.74
BUX,1992.01.09.,,,,842.77
BUX,1992.01.10.,,,,850.78
BUX,1992.01.13.,,,,859.05
BUX,1992.01.14.,,,,860.23
BUX,1992.01.15.,,,,860.37
BUX,1992.01.16.,,,,860.88
BUX,1992.01.17.,,,,855.05
BUX,1992.01.20.,,,,862.91
BUX,1992.01.21.,,,,865.9
BUX,1992.01.22.,,,,865.41
BUX,1992.01.23.,,,,860.92
BUX,1992.01.24.,,,,854.08
BUX,1992.01.27.,,,,847.29
BUX,1992.01.28.,,,,838.34
BUX,1992.01.29.,,,,836.91
BUX,1992.01.30.,,,,838.2
BUX,1992.01.31.,,,,853.15
BUX,1992.02.03.,,,,856.24
BUX,1992.02.04.,,,,856.76
BUX,1992.02.05.,,,,854.68
BUX,1992.02.06.,,,,852.51
BUX,1992.02.07.,,,,849.94
BUX,1992.02.10.,,,,852.61
BUX,1992.02.11.,,,,855.05
BUX,1992.02.12.,,,,856.08
BUX,1992.02.13.,,,,854.27
BUX,1992.02.14.,,,,848.34
BUX,1992.02.17.,,,,847.47
BUX,1992.02.18.,,,,839.03
BUX,1992.02.19.,,,,833.91
BUX,1992.02.20.,,,,830.62
BUX,1992.02.21.,,,,838.55
BUX,1992.02.24.,,,,840.86
BUX,1992.02.25.,,,,838.36
BUX,1992.02.26.,,,,831.66
BUX,1992.02.27.,,,,841.5
BUX,1992.02.28.,,,,848.02
BUX,1992.03.02.,,,,859.16
BUX,1992.03.03.,,,,871.08
BUX,1992.03.04.,,,,866.97
BUX,1992.03.05.,,,,864.38
BUX,1992.03.06.,,,,867.76
BUX,1992.03.09.,,,,867.35
BUX,1992.03.10.,,,,871.22
BUX,1992.03.11.,,,,875.4
BUX,1992.03.12.,,,,873.94
BUX,1992.03.13.,,,,879.44
BUX,1992.03.16.,,,,879.37
BUX,1992.03.17.,,,,890.91
BUX,1992.03.18.,,,,903.72
BUX,1992.03.19.,,,,908.62
BUX,1992.03.20.,,,,924.79
BUX,1992.03.23.,,,,929.36
BUX,1992.03.24.,,,,919.91
BUX,1992.03.25.,,,,930.72
BUX,1992.03.26.,,,,931.59
BUX,1992.03.27.,,,,923.26
BUX,1992.03.30.,,,,925.71
BUX,1992.03.31.,,,,930.2
BUX,1992.04.01.,,,,928.01
BUX,1992.04.02.,,,,927.41
BUX,1992.04.03.,,,,928.71
BUX,1992.04.06.,,,,925.2
BUX,1992.04.07.,,,,921.6
BUX,1992.04.08.,,,,918.35
BUX,1992.04.09.,,,,913.2
BUX,1992.04.10.,,,,916.95
BUX,1992.04.13.,,,,923.96
BUX,1992.04.14.,,,,927.09
BUX,1992.04.15.,,,,925.48
BUX,1992.04.16.,,,,928.47
BUX,1992.04.17.,,,,922.08
BUX,1992.04.21.,,,,916.6
BUX,1992.04.22.,,,,930.31
BUX,1992.04.23.,,,,942.24
BUX,1992.04.24.,,,,941.48
BUX,1992.04.27.,,,,964.39
BUX,1992.04.28.,,,,964.71
BUX,1992.04.29.,,,,961.7
BUX,1992.04.30.,,,,961.08
BUX,1992.05.04.,,,,931.56
BUX,1992.05.05.,,,,932.31
BUX,1992.05.06.,,,,935.64
BUX,1992.05.07.,,,,932.69
BUX,1992.05.08.,,,,937.34
BUX,1992.05.11.,,,,941.1
BUX,1992.05.12.,,,,928.28
BUX,1992.05.13.,,,,926.35
BUX,1992.05.14.,,,,932.61
BUX,1992.05.15.,,,,921.25
BUX,1992.05.18.,,,,898.66
BUX,1992.05.19.,,,,925.02
BUX,1992.05.20.,,,,870.02
BUX,1992.05.21.,,,,890.02
BUX,1992.05.22.,,,,919.13
BUX,1992.05.25.,,,,921.72
BUX,1992.05.26.,,,,920.13
BUX,1992.05.27.,,,,919.8
BUX,1992.05.28.,,,,918.17
BUX,1992.05.29.,,,,914.9
BUX,1992.06.01.,,,,923.56
BUX,1992.06.02.,,,,931.61
BUX,1992.06.03.,,,,942.66
BUX,1992.06.04.,,,,957.93
BUX,1992.06.05.,,,,971.0
BUX,1992.06.08.,,,,975.02
BUX,1992.06.09.,,,,976.81
BUX,1992.06.10.,,,,984.04
BUX,1992.06.11.,,,,981.95
BUX,1992.06.12.,,,,985.44
BUX,1992.06.15.,,,,983.88
BUX,1992.06.16.,,,,988.42
BUX,1992.06.17.,,,,983.16
BUX,1992.06.18.,,,,982.14
BUX,1992.06.19.,,,,978.38
BUX,1992.06.22.,,,,967.52
BUX,1992.06.23.,,,,965.09
BUX,1992.06.24.,,,,959.15
BUX,1992.06.25.,,,,961.17
BUX,1992.06.26.,,,,955.04
BUX,1992.06.29.,,,,924.41
BUX,1992.06.30.,,,,931.57
BUX,1992.07.01.,,,,938.28
BUX,1992.07.02.,,,,937.86
BUX,1992.07.03.,,,,937.57
BUX,1992.07.06.,,,,938.21
BUX,1992.07.07.,,,,944.08
BUX,1992.07.08.,,,,937.41
BUX,1992.07.09.,,,,954.13
BUX,1992.07.10.,,,,945.88
BUX,1992.07.13.,,,,944.83
BUX,1992.07.14.,,,,939.21
BUX,1992.07.15.,,,,940.55
BUX,1992.07.16.,,,,931.96
BUX,1992.07.17.,,,,926.92
BUX,1992.07.20.,,,,920.13
BUX,1992.07.21.,,,,911.35
BUX,1992.07.22.,,,,913.14
BUX,1992.07.23.,,,,913.37
BUX,1992.07.24.,,,,913.08
BUX,1992.07.27.,,,,909.06
BUX,1992.07.28.,,,,905.24
BUX,1992.07.29.,,,,911.49
BUX,1992.07.30.,,,,904.34
BUX,1992.07.31.,,,,906.14
BUX,1992.08.03.,,,,906.35
BUX,1992.08.04.,,,,898.81
BUX,1992.08.05.,,,,899.05
BUX,1992.08.06.,,,,906.11
BUX,1992.08.07.,,,,907.32
BUX,1992.08.10.,,,,902.94
BUX,1992.08.11.,,,,902.07
BUX,1992.08.12.,,,,902.73
BUX,1992.08.13.,,,,901.67
BUX,1992.08.14.,,,,901.5
BUX,1992.08.17.,,,,899.78
BUX,1992.08.18.,,,,903.97
BUX,1992.08.19.,,,,904.54
BUX,1992.08.24.,,,,904.28
BUX,1992.08.25.,,,,911.2
BUX,1992.08.26.,,,,911.73
BUX,1992.08.27.,,,,905.89
BUX,1992.08.28.,,,,905.96
BUX,1992.08.31.,,,,904.41
BUX,1992.09.01.,,,,905.86
BUX,1992.09.02.,,,,910.98
BUX,1992.09.03.,,,,908.74
BUX,1992.09.04.,,,,907.46
BUX,1992.09.07.,,,,909.65
BUX,1992.09.08.,,,,911.85
BUX,1992.09.09.,,,,910.71
BUX,1992.09.10.,,,,912.3
BUX,1992.09.11.,,,,915.94
BUX,1992.09.14.,,,,917.54
BUX,1992.09.15.,,,,911.38
BUX,1992.09.16.,,,,919.63
BUX,1992.09.17.,,,,918.73
BUX,1992.09.18.,,,,918.73
BUX,1992.09.21.,,,,917.23
BUX,1992.09.22.,,,,917.69
BUX,1992.09.23.,,,,916.84
BUX,1992.09.24.,,,,914.89
BUX,1992.09.25.,,,,918.42
BUX,1992.09.28.,,,,922.01
BUX,1992.09.29.,,,,928.02
BUX,1992.09.30.,,,,926.81
BUX,1992.10.01.,,,,920.64
BUX,1992.10.02.,,,,919.23
BUX,1992.10.05.,,,,920.31
BUX,1992.10.06.,,,,911.53
BUX,1992.10.07.,,,,910.08
BUX,1992.10.08.,,,,912.9
BUX,1992.10.09.,,,,913.63
BUX,1992.10.12.,,,,912.42
BUX,1992.10.13.,,,,906.89
BUX,1992.10.14.,,,,904.83
BUX,1992.10.15.,,,,906.63
BUX,1992.10.16.,,,,896.11
BUX,1992.10.19.,,,,902.05
BUX,1992.10.20.,,,,900.28
BUX,1992.10.21.,,,,906.5
BUX,1992.10.22.,,,,905.39
BUX,1992.10.26.,,,,910.04
BUX,1992.10.27.,,,,904.87
BUX,1992.10.28.,,,,903.08
BUX,1992.10.29.,,,,900.69
BUX,1992.10.30.,,,,901.94
BUX,1992.11.02.,,,,900.66
BUX,1992.11.03.,,,,901.0
BUX,1992.11.04.,,,,900.41
BUX,1992.11.05.,,,,900.32
BUX,1992.11.06.,,,,896.15
BUX,1992.11.09.,,,,889.3
BUX,1992.11.10.,,,,887.55
BUX,1992.11.11.,,,,872.06
BUX,1992.11.12.,,,,833.84
BUX,1992.11.13.,,,,832.92
BUX,1992.11.16.,,,,836.15
BUX,1992.11.17.,,,,831.14
BUX,1992.11.18.,,,,830.37
BUX,1992.11.19.,,,,830.04
BUX,1992.11.20.,,,,833.18
BUX,1992.11.23.,,,,834.73
BUX,1992.11.24.,,,,834.73
BUX,1992.11.25.,,,,844.04
BUX,1992.11.26.,,,,848.78
BUX,1992.11.27.,,,,845.91
BUX,1992.11.30.,,,,847.97
BUX,1992.12.01.,,,,851.35
BUX,1992.12.02.,,,,840.63
BUX,1992.12.03.,,,,840.48
BUX,1992.12.04.,,,,835.17
BUX,1992.12.07.,,,,839.64
BUX,1992.12.08.,,,,837.73
BUX,1992.12.09.,,,,836.72
BUX,1992.12.10.,,,,835.22
BUX,1992.12.11.,,,,839.08
BUX,1992.12.14.,,,,848.29
BUX,1992.12.15.,,,,856.67
BUX,1992.12.16.,,,,858.34
BUX,1992.12.17.,,,,853.75
BUX,1992.12.18.,,,,855.59
BUX,1992.12.21.,,,,857.54
BUX,1992.12.22.,,,,851.07
BUX,1992.12.23.,,,,849.29
BUX,1992.12.28.,,,,853.45
BUX,1992.12.29.,,,,850.76
BUX,1992.12.30.,,,,862.87
BUX,1992.12.31.,,,,890.9
BUX,1993.01.07.,,,,891.25
BUX,1993.01.08.,,,,869.43
BUX,1993.01.11.,,,,850.72
BUX,1993.01.12.,,,,834.97
BUX,1993.01.13.,,,,836.44
BUX,1993.01.14.,,,,837.28
BUX,1993.01.15.,,,,835.8
BUX,1993.01.18.,,,,831.9
BUX,1993.01.19.,,,,827.76
BUX,1993.01.20.,,,,817.81
BUX,1993.01.21.,,,,812.29
BUX,1993.01.22.,,,,810.95
BUX,1993.01.25.,,,,810.64
BUX,1993.01.26.,,,,798.08
BUX,1993.01.27.,,,,793.96
BUX,1993.01.28.,,,,788.69
BUX,1993.01.29.,,,,785.46
BUX,1993.02.01.,,,,787.49
BUX,1993.02.02.,,,,783.61
BUX,1993.02.03.,,,,783.79
BUX,1993.02.04.,,,,782.32
BUX,1993.02.05.,,,,782.49
BUX,1993.02.08.,,,,780.26
BUX,1993.02.09.,,,,781.91
BUX,1993.02.10.,,,,785.15
BUX,1993.02.11.,,,,786.01
BUX,1993.02.12.,,,,788.29
BUX,1993.02.15.,,,,789.53
BUX,1993.02.16.,,,,786.84
BUX,1993.02.17.,,,,787.42
BUX,1993.02.18.,,,,786.56
BUX,1993.02.19.,,,,786.56
BUX,1993.02.22.,,,,787.02
BUX,1993.02.23.,,,,786.11
BUX,1993.02.24.,,,,788.36
BUX,1993.02.25.,,,,792.95
BUX,1993.02.26.,,,,794.56
BUX,1993.03.01.,,,,799.43
BUX,1993.03.02.,,,,792.52
BUX,1993.03.03.,,,,790.56
BUX,1993.03.04.,,,,785.93
BUX,1993.03.05.,,,,781.1
BUX,1993.03.08.,,,,777.86
BUX,1993.03.09.,,,,777.38
BUX,1993.03.10.,,,,777.51
BUX,1993.03.11.,,,,779.13
BUX,1993.03.12.,,,,776.68
BUX,1993.03.16.,,,,775.95
BUX,1993.03.17.,,,,773.71
BUX,1993.03.18.,,,,771.57
BUX,1993.03.19.,,,,770.73
BUX,1993.03.22.,,,,773.19
BUX,1993.03.23.,,,,778.55
BUX,1993.03.24.,,,,784.76
BUX,1993.03.25.,,,,788.76
BUX,1993.03.26.,,,,789.07
BUX,1993.03.29.,,,,785.84
BUX,1993.03.30.,,,,784.68
BUX,1993.03.31.,,,,783.5
BUX,1993.04.01.,,,,783.59
BUX,1993.04.02.,,,,782.66
BUX,1993.04.05.,,,,768.69
BUX,1993.04.06.,,,,779.44
BUX,1993.04.07.,,,,779.12
BUX,1993.04.08.,,,,773.46
BUX,1993.04.09.,,,,770.37
BUX,1993.04.13.,,,,770.81
BUX,1993.04.14.,,,,770.16
BUX,1993.04.15.,,,,756.36
BUX,1993.04.16.,,,,756.61
BUX,1993.04.19.,,,,754.96
BUX,1993.04.20.,,,,752.27
BUX,1993.04.21.,,,,751.33
BUX,1993.04.22.,,,,746.41
BUX,1993.04.23.,,,,740.6
BUX,1993.04.26.,,,,732.5
BUX,1993.04.27.,,,,735.73
BUX,1993.04.28.,,,,734.62
BUX,1993.04.29.,,,,731.79
BUX,1993.04.30.,,,,726.32
BUX,1993.05.03.,,,,735.97
BUX,1993.05.04.,,,,736.1
BUX,1993.05.05.,,,,738.65
BUX,1993.05.06.,,,,734.2
BUX,1993.05.07.,,,,728.08
BUX,1993.05.10.,,,,728.19
BUX,1993.05.11.,,,,722.25
BUX,1993.05.12.,,,,720.99
BUX,1993.05.13.,,,,720.02
BUX,1993.05.14.,,,,717.75
BUX,1993.05.17.,,,,720.19
BUX,1993.05.18.,,,,724.91
BUX,1993.05.19.,,,,733.79
BUX,1993.05.20.,,,,733.5
BUX,1993.05.21.,,,,732.9
BUX,1993.05.24.,,,,729.87
BUX,1993.05.25.,,,,732.19
BUX,1993.05.26.,,,,742.83
BUX,1993.05.27.,,,,741.12
BUX,1993.05.28.,,,,746.95
BUX,1993.06.01.,,,,746.95
BUX,1993.06.02.,,,,750.43
BUX,1993.06.03.,,,,747.88
BUX,1993.06.04.,,,,739.42
BUX,1993.06.07.,,,,748.27
BUX,1993.06.08.,,,,753.64
BUX,1993.06.09.,,,,752.32
BUX,1993.06.10.,,,,755.52
BUX,1993.06.11.,,,,755.57
BUX,1993.06.14.,,,,763.13
BUX,1993.06.15.,,,,754.5
BUX,1993.06.16.,,,,764.2
BUX,1993.06.17.,,,,757.36
BUX,1993.06.18.,,,,759.78
BUX,1993.06.21.,,,,757.3
BUX,1993.06.22.,,,,759.02
BUX,1993.06.23.,,,,759.62
BUX,1993.06.24.,,,,759.05
BUX,1993.06.25.,,,,760.57
BUX,1993.06.28.,,,,781.6
BUX,1993.06.29.,,,,784.88
BUX,1993.06.30.,,,,785.4
BUX,1993.07.01.,,,,789.77
BUX,1993.07.02.,,,,788.93
BUX,1993.07.05.,,,,785.68
BUX,1993.07.06.,,,,782.52
BUX,1993.07.07.,,,,742.8
BUX,1993.07.08.,,,,783.23
BUX,1993.07.09.,,,,786.27
BUX,1993.07.12.,,,,785.21
BUX,1993.07.13.,,,,784.22
BUX,1993.07.14.,,,,781.08
BUX,1993.07.15.,,,,782.75
BUX,1993.07.16.,,,,788.17
BUX,1993.07.19.,,,,798.51
BUX,1993.07.20.,,,,817.72
BUX,1993.07.21.,,,,829.02
BUX,1993.07.22.,,,,831.76
BUX,1993.07.23.,,,,839.99
BUX,1993.07.26.,,,,833.21
BUX,1993.07.27.,,,,837.43
BUX,1993.07.28.,,,,875.52
BUX,1993.07.29.,,,,904.68
BUX,1993.07.30.,,,,888.67
BUX,1993.08.02.,,,,907.82
BUX,1993.08.03.,,,,914.21
BUX,1993.08.04.,,,,931.41
BUX,1993.08.05.,,,,942.67
BUX,1993.08.06.,,,,949.37
BUX,1993.08.09.,,,,959.96
BUX,1993.08.10.,,,,989.3
BUX,1993.08.11.,,,,1033.68
BUX,1993.08.12.,,,,1059.92
BUX,1993.08.13.,,,,1055.03
BUX,1993.08.16.,,,,1056.78
BUX,1993.08.17.,,,,1049.85
BUX,1993.08.18.,,,,1048.44
BUX,1993.08.19.,,,,1070.1
BUX,1993.08.23.,,,,1080.92
BUX,1993.08.24.,,,,1068.34
BUX,1993.08.25.,,,,1064.69
BUX,1993.08.26.,,,,1070.22
BUX,1993.08.27.,,,,1069.98
BUX,1993.08.30.,,,,1067.15
BUX,1993.08.31.,,,,1087.36
BUX,1993.09.01.,,,,1092.36
BUX,1993.09.02.,,,,1098.73
BUX,1993.09.03.,,,,1101.32
BUX,1993.09.06.,,,,1088.72
BUX,1993.09.07.,,,,1092.42
BUX,1993.09.08.,,,,1092.59
BUX,1993.09.09.,,,,1073.99
BUX,1993.09.10.,,,,1073.16
BUX,1993.09.13.,,,,1075.86
BUX,1993.09.14.,,,,1113.02
BUX,1993.09.15.,,,,1120.95
BUX,1993.09.16.,,,,1118.01
BUX,1993.09.17.,,,,1127.11
BUX,1993.09.20.,,,,1133.87
BUX,1993.09.21.,,,,1128.45
BUX,1993.09.22.,,,,1117.56
BUX,1993.09.23.,,,,1115.63
BUX,1993.09.24.,,,,1125.12
BUX,1993.09.27.,,,,1130.4
BUX,1993.09.28.,,,,1140.32
BUX,1993.09.29.,,,,1158.93
BUX,1993.09.30.,,,,1175.28
BUX,1993.10.01.,,,,1206.66
BUX,1993.10.04.,,,,1206.75
BUX,1993.10.05.,,,,1183.44
BUX,1993.10.06.,,,,1189.35
BUX,1993.10.07.,,,,1188.5
BUX,1993.10.08.,,,,1195.69
BUX,1993.10.11.,,,,1208.36
BUX,1993.10.12.,,,,1213.59
BUX,1993.10.13.,,,,1216.0
BUX,1993.10.14.,,,,1217.75
BUX,1993.10.15.,,,,1191.82
BUX,1993.10.18.,,,,1189.03
BUX,1993.10.19.,,,,1188.35
BUX,1993.10.20.,,,,1187.17
BUX,1993.10.21.,,,,1165.85
BUX,1993.10.22.,,,,1171.77
BUX,1993.10.25.,,,,1178.71
BUX,1993.10.26.,,,,1184.28
BUX,1993.10.27.,,,,1194.63
BUX,1993.10.28.,,,,1195.06
BUX,1993.10.29.,,,,1193.03
BUX,1993.11.01.,,,,1192.22
BUX,1993.11.02.,,,,1197.04
BUX,1993.11.03.,,,,1208.89
BUX,1993.11.04.,,,,1208.94
BUX,1993.11.05.,,,,1215.01
BUX,1993.11.08.,,,,1222.02
BUX,1993.11.09.,,,,1220.52
BUX,1993.11.10.,,,,1221.4
BUX,1993.11.11.,,,,1223.54
BUX,1993.11.12.,,,,1225.0
BUX,1993.11.15.,,,,1223.42
BUX,1993.11.16.,,,,1231.29
