"DATE","TIME PERIOD","Euro/Romanian leu (EXR.D.RON.EUR.SP00.A)"
"1999-01-04","04 Jan 1999","1.3111"
"1999-01-05","05 Jan 1999","1.3168"
"1999-01-06","06 Jan 1999","1.3168"
"1999-01-07","07 Jan 1999","1.3092"
"1999-01-08","08 Jan 1999","1.3143"
"1999-01-11","11 Jan 1999","1.2980"
"1999-01-12","12 Jan 1999","1.2912"
"1999-01-13","13 Jan 1999","1.3149"
"1999-01-14","14 Jan 1999","1.3134"
"1999-01-15","15 Jan 1999","1.3164"
"1999-01-18","18 Jan 1999","1.3263"
"1999-01-19","19 Jan 1999","1.3335"
"1999-01-20","20 Jan 1999","1.3274"
"1999-01-21","21 Jan 1999","1.3282"
"1999-01-22","22 Jan 1999","1.3285"
"1999-01-25","25 Jan 1999","1.3318"
"1999-01-26","26 Jan 1999","1.3328"
"1999-01-27","27 Jan 1999","1.3302"
"1999-01-28","28 Jan 1999","1.3199"
"1999-01-29","29 Jan 1999","1.3280"
"1999-02-01","01 Feb 1999","1.3407"
"1999-02-02","02 Feb 1999","1.3596"
"1999-02-03","03 Feb 1999","1.3660"
"1999-02-04","04 Feb 1999","1.3655"
"1999-02-05","05 Feb 1999","1.3819"
"1999-02-08","08 Feb 1999","1.3718"
"1999-02-09","09 Feb 1999","1.3724"
"1999-02-10","10 Feb 1999","1.3773"
"1999-02-11","11 Feb 1999","1.3848"
"1999-02-12","12 Feb 1999","1.3664"
"1999-02-15","15 Feb 1999","1.3663"
"1999-02-16","16 Feb 1999","1.3694"
"1999-02-17","17 Feb 1999","1.3794"
"1999-02-18","18 Feb 1999","1.3857"
"1999-02-19","19 Feb 1999","1.3826"
"1999-02-22","22 Feb 1999","1.3680"
"1999-02-23","23 Feb 1999","1.3798"
"1999-02-24","24 Feb 1999","1.4068"
"1999-02-25","25 Feb 1999","1.4169"
"1999-02-26","26 Feb 1999","1.4075"
"1999-03-01","01 Mar 1999","1.4079"
"1999-03-02","02 Mar 1999","1.4117"
"1999-03-03","03 Mar 1999","1.4316"
"1999-03-04","04 Mar 1999","1.4559"
"1999-03-05","05 Mar 1999","1.4506"
"1999-03-08","08 Mar 1999","1.4160"
"1999-03-09","09 Mar 1999","1.4573"
"1999-03-10","10 Mar 1999","1.4830"
"1999-03-11","11 Mar 1999","1.4951"
"1999-03-12","12 Mar 1999","1.4818"
"1999-03-15","15 Mar 1999","1.5212"
"1999-03-16","16 Mar 1999","1.5931"
"1999-03-17","17 Mar 1999","1.7825"
"1999-03-18","18 Mar 1999","1.7891"
"1999-03-19","19 Mar 1999","1.6209"
"1999-03-22","22 Mar 1999","1.6187"
"1999-03-23","23 Mar 1999","1.6242"
"1999-03-24","24 Mar 1999","1.5846"
"1999-03-25","25 Mar 1999","1.5873"
"1999-03-26","26 Mar 1999","1.5952"
"1999-03-29","29 Mar 1999","1.6038"
"1999-03-30","30 Mar 1999","1.6420"
"1999-03-31","31 Mar 1999","1.6059"
"1999-04-01","01 Apr 1999","1.5953"
"1999-04-02","02 Apr 1999","1.5937"
"1999-04-05","05 Apr 1999","1.5988"
"1999-04-06","06 Apr 1999","1.5902"
"1999-04-07","07 Apr 1999","1.5677"
"1999-04-08","08 Apr 1999","1.5713"
"1999-04-09","09 Apr 1999","1.5386"
"1999-04-12","12 Apr 1999","1.5521"
"1999-04-13","13 Apr 1999","1.5920"
"1999-04-14","14 Apr 1999","1.6073"
"1999-04-15","15 Apr 1999","1.6125"
"1999-04-16","16 Apr 1999","1.5897"
"1999-04-19","19 Apr 1999","1.5846"
"1999-04-20","20 Apr 1999","1.5846"
"1999-04-21","21 Apr 1999","1.5649"
"1999-04-22","22 Apr 1999","1.5710"
"1999-04-23","23 Apr 1999","1.5735"
"1999-04-26","26 Apr 1999","1.5703"
"1999-04-27","27 Apr 1999","1.5780"
"1999-04-28","28 Apr 1999","1.5862"
"1999-04-29","29 Apr 1999","1.5893"
"1999-04-30","30 Apr 1999","1.5832"
"1999-05-03","03 May 1999","1.5806"
"1999-05-04","04 May 1999","1.5801"
"1999-05-05","05 May 1999","1.5934"
"1999-05-06","06 May 1999","1.6140"
"1999-05-07","07 May 1999","1.6147"
"1999-05-10","10 May 1999","1.6070"
"1999-05-11","11 May 1999","1.6083"
"1999-05-12","12 May 1999","1.5917"
"1999-05-13","13 May 1999","1.5954"
"1999-05-14","14 May 1999","1.5985"
"1999-05-17","17 May 1999","1.6295"
"1999-05-18","18 May 1999","1.6575"
"1999-05-19","19 May 1999","1.6451"
"1999-05-20","20 May 1999","1.6469"
"1999-05-21","21 May 1999","1.6410"
"1999-05-24","24 May 1999","1.6417"
"1999-05-25","25 May 1999","1.6480"
"1999-05-26","26 May 1999","1.6366"
"1999-05-27","27 May 1999","1.6322"
"1999-05-28","28 May 1999","1.6364"
"1999-05-31","31 May 1999","1.6327"
"1999-06-01","01 Jun 1999","1.6301"
"1999-06-02","02 Jun 1999","1.6250"
"1999-06-03","03 Jun 1999","1.6321"
"1999-06-04","04 Jun 1999","1.6250"
"1999-06-07","07 Jun 1999","1.6275"
"1999-06-08","08 Jun 1999","1.6386"
"1999-06-09","09 Jun 1999","1.6493"
"1999-06-10","10 Jun 1999","1.6538"
"1999-06-11","11 Jun 1999","1.6520"
"1999-06-14","14 Jun 1999","1.6428"
"1999-06-15","15 Jun 1999","1.6372"
"1999-06-16","16 Jun 1999","1.6305"
"1999-06-17","17 Jun 1999","1.6363"
"1999-06-18","18 Jun 1999","1.6439"
"1999-06-21","21 Jun 1999","1.6410"
"1999-06-22","22 Jun 1999","1.6205"
"1999-06-23","23 Jun 1999","1.6208"
"1999-06-24","24 Jun 1999","1.6186"
"1999-06-25","25 Jun 1999","1.6437"
"1999-06-28","28 Jun 1999","1.6452"
"1999-06-29","29 Jun 1999","1.6483"
"1999-06-30","30 Jun 1999","1.6388"
"1999-07-01","01 Jul 1999","1.6238"
"1999-07-02","02 Jul 1999","1.6274"
"1999-07-05","05 Jul 1999","1.6200"
"1999-07-06","06 Jul 1999","1.6243"
"1999-07-07","07 Jul 1999","1.6211"
"1999-07-08","08 Jul 1999","1.6154"
"1999-07-09","09 Jul 1999","1.6149"
"1999-07-12","12 Jul 1999","1.6181"
"1999-07-13","13 Jul 1999","1.6057"
"1999-07-14","14 Jul 1999","1.6057"
"1999-07-15","15 Jul 1999","1.6245"
"1999-07-16","16 Jul 1999","1.6224"
"1999-07-19","19 Jul 1999","1.6188"
"1999-07-20","20 Jul 1999","1.6659"
"1999-07-21","21 Jul 1999","1.6687"
"1999-07-22","22 Jul 1999","1.6692"
"1999-07-23","23 Jul 1999","1.6746"
"1999-07-26","26 Jul 1999","1.7026"
"1999-07-27","27 Jul 1999","1.6950"
"1999-07-28","28 Jul 1999","1.7014"
"1999-07-29","29 Jul 1999","1.6986"
"1999-07-30","30 Jul 1999","1.7167"
"1999-08-02","02 Aug 1999","1.7119"
"1999-08-03","03 Aug 1999","1.7125"
"1999-08-04","04 Aug 1999","1.7288"
"1999-08-05","05 Aug 1999","1.7365"
"1999-08-06","06 Aug 1999","1.7222"
"1999-08-09","09 Aug 1999","1.7159"
"1999-08-10","10 Aug 1999","1.7182"
"1999-08-11","11 Aug 1999","1.7138"
"1999-08-12","12 Aug 1999","1.7085"
"1999-08-13","13 Aug 1999","1.7117"
"1999-08-16","16 Aug 1999","1.6981"
"1999-08-17","17 Aug 1999","1.6929"
"1999-08-18","18 Aug 1999","1.6922"
"1999-08-19","19 Aug 1999","1.6927"
"1999-08-20","20 Aug 1999","1.6927"
"1999-08-23","23 Aug 1999","1.7088"
"1999-08-24","24 Aug 1999","1.6964"
"1999-08-25","25 Aug 1999","1.6849"
"1999-08-26","26 Aug 1999","1.6870"
"1999-08-27","27 Aug 1999","1.6924"
"1999-08-30","30 Aug 1999","1.6956"
"1999-08-31","31 Aug 1999","1.7138"
"1999-09-01","01 Sep 1999","1.7222"
"1999-09-02","02 Sep 1999","1.7262"
"1999-09-03","03 Sep 1999","1.7398"
"1999-09-06","06 Sep 1999","1.7423"
"1999-09-07","07 Sep 1999","1.7204"
"1999-09-08","08 Sep 1999","1.7335"
"1999-09-09","09 Sep 1999","1.7332"
"1999-09-10","10 Sep 1999","1.7302"
"1999-09-13","13 Sep 1999","1.6902"
"1999-09-14","14 Sep 1999","1.6939"
"1999-09-15","15 Sep 1999","1.6949"
"1999-09-16","16 Sep 1999","1.6976"
"1999-09-17","17 Sep 1999","1.7023"
"1999-09-20","20 Sep 1999","1.7042"
"1999-09-21","21 Sep 1999","1.7010"
"1999-09-22","22 Sep 1999","1.7211"
"1999-09-23","23 Sep 1999","1.7099"
"1999-09-24","24 Sep 1999","1.7171"
"1999-09-27","27 Sep 1999","1.7102"
"1999-09-28","28 Sep 1999","1.7246"
"1999-09-29","29 Sep 1999","1.7379"
"1999-09-30","30 Sep 1999","1.7560"
"1999-10-01","01 Oct 1999","1.7704"
"1999-10-04","04 Oct 1999","1.7704"
"1999-10-05","05 Oct 1999","1.7706"
"1999-10-06","06 Oct 1999","1.7811"
"1999-10-07","07 Oct 1999","1.7840"
"1999-10-08","08 Oct 1999","1.7752"
"1999-10-11","11 Oct 1999","1.7713"
"1999-10-12","12 Oct 1999","1.7713"
"1999-10-13","13 Oct 1999","1.7983"
"1999-10-14","14 Oct 1999","1.8007"
"1999-10-15","15 Oct 1999","1.8164"
"1999-10-18","18 Oct 1999","1.8172"
"1999-10-19","19 Oct 1999","1.8120"
"1999-10-20","20 Oct 1999","1.8065"
"1999-10-21","21 Oct 1999","1.8107"
"1999-10-22","22 Oct 1999","1.8065"
"1999-10-25","25 Oct 1999","1.7942"
"1999-10-26","26 Oct 1999","1.7868"
"1999-10-27","27 Oct 1999","1.7744"
"1999-10-28","28 Oct 1999","1.7745"
"1999-10-29","29 Oct 1999","1.7643"
"1999-11-01","01 Nov 1999","1.7889"
"1999-11-02","02 Nov 1999","1.7841"
"1999-11-03","03 Nov 1999","1.7903"
"1999-11-04","04 Nov 1999","1.7967"
"1999-11-05","05 Nov 1999","1.7946"
"1999-11-08","08 Nov 1999","1.7824"
"1999-11-09","09 Nov 1999","1.7898"
"1999-11-10","10 Nov 1999","1.7869"
"1999-11-11","11 Nov 1999","1.7936"
"1999-11-12","12 Nov 1999","1.7853"
"1999-11-15","15 Nov 1999","1.7872"
"1999-11-16","16 Nov 1999","1.8005"
"1999-11-17","17 Nov 1999","1.8214"
"1999-11-18","18 Nov 1999","1.8476"
"1999-11-19","19 Nov 1999","1.8417"
"1999-11-22","22 Nov 1999","1.8457"
"1999-11-23","23 Nov 1999","1.8482"
"1999-11-24","24 Nov 1999","1.8221"
"1999-11-25","25 Nov 1999","1.8295"
"1999-11-26","26 Nov 1999","1.8056"
"1999-11-29","29 Nov 1999","1.8018"
"1999-11-30","30 Nov 1999","1.8038"
"1999-12-01","01 Dec 1999","1.8043"
"1999-12-02","02 Dec 1999","1.7972"
"1999-12-03","03 Dec 1999","1.7897"
"1999-12-06","06 Dec 1999","1.8297"
"1999-12-07","07 Dec 1999","1.8502"
"1999-12-08","08 Dec 1999","1.8456"
"1999-12-09","09 Dec 1999","1.8274"
"1999-12-10","10 Dec 1999","1.8152"
"1999-12-13","13 Dec 1999","1.8134"
"1999-12-14","14 Dec 1999","1.7986"
"1999-12-15","15 Dec 1999","1.7943"
"1999-12-16","16 Dec 1999","1.8202"
"1999-12-17","17 Dec 1999","1.8139"
"1999-12-20","20 Dec 1999","1.8087"
"1999-12-21","21 Dec 1999","1.8061"
"1999-12-22","22 Dec 1999","1.8113"
"1999-12-23","23 Dec 1999","1.8155"
"1999-12-24","24 Dec 1999","1.8359"
"1999-12-27","27 Dec 1999","1.8449"
"1999-12-28","28 Dec 1999","1.8389"
"1999-12-29","29 Dec 1999","1.8457"
"1999-12-30","30 Dec 1999","1.8345"
"2000-01-03","03 Jan 2000","1.8273"
"2000-01-04","04 Jan 2000","1.8858"
"2000-01-05","05 Jan 2000","1.8979"
"2000-01-06","06 Jan 2000","1.9000"
"2000-01-07","07 Jan 2000","1.8822"
"2000-01-10","10 Jan 2000","1.8729"
"2000-01-11","11 Jan 2000","1.8784"
"2000-01-12","12 Jan 2000","1.8874"
"2000-01-13","13 Jan 2000","1.8860"
"2000-01-14","14 Jan 2000","1.8776"
"2000-01-17","17 Jan 2000","1.8502"
"2000-01-18","18 Jan 2000","1.8507"
"2000-01-19","19 Jan 2000","1.8512"
"2000-01-20","20 Jan 2000","1.8511"
"2000-01-21","21 Jan 2000","1.8525"
"2000-01-24","24 Jan 2000","1.8420"
"2000-01-25","25 Jan 2000","1.8397"
"2000-01-26","26 Jan 2000","1.8445"
"2000-01-27","27 Jan 2000","1.8411"
"2000-01-28","28 Jan 2000","1.8172"
"2000-01-31","31 Jan 2000","1.8073"
"2000-02-01","01 Feb 2000","1.7924"
"2000-02-02","02 Feb 2000","1.7936"
"2000-02-03","03 Feb 2000","1.8087"
"2000-02-04","04 Feb 2000","1.8291"
"2000-02-07","07 Feb 2000","1.8176"
"2000-02-08","08 Feb 2000","1.8402"
"2000-02-09","09 Feb 2000","1.8482"
"2000-02-10","10 Feb 2000","1.8426"
"2000-02-11","11 Feb 2000","1.8307"
"2000-02-14","14 Feb 2000","1.8440"
"2000-02-15","15 Feb 2000","1.8281"
"2000-02-16","16 Feb 2000","1.8343"
"2000-02-17","17 Feb 2000","1.8628"
"2000-02-18","18 Feb 2000","1.8521"
"2000-02-21","21 Feb 2000","1.8543"
"2000-02-22","22 Feb 2000","1.8852"
"2000-02-23","23 Feb 2000","1.8931"
"2000-02-24","24 Feb 2000","1.8671"
"2000-02-25","25 Feb 2000","1.8517"
"2000-02-28","28 Feb 2000","1.8215"
"2000-02-29","29 Feb 2000","1.8350"
"2000-03-01","01 Mar 2000","1.8290"
"2000-03-02","02 Mar 2000","1.8425"
"2000-03-03","03 Mar 2000","1.8315"
"2000-03-06","06 Mar 2000","1.8331"
"2000-03-07","07 Mar 2000","1.8278"
"2000-03-08","08 Mar 2000","1.8199"
"2000-03-09","09 Mar 2000","1.8352"
"2000-03-10","10 Mar 2000","1.8347"
"2000-03-13","13 Mar 2000","1.8548"
"2000-03-14","14 Mar 2000","1.8398"
"2000-03-15","15 Mar 2000","1.8488"
"2000-03-16","16 Mar 2000","1.8580"
"2000-03-17","17 Mar 2000","1.8638"
"2000-03-20","20 Mar 2000","1.8699"
"2000-03-21","21 Mar 2000","1.8687"
"2000-03-22","22 Mar 2000","1.8551"
"2000-03-23","23 Mar 2000","1.8688"
"2000-03-24","24 Mar 2000","1.8813"
"2000-03-27","27 Mar 2000","1.8824"
"2000-03-28","28 Mar 2000","1.8725"
"2000-03-29","29 Mar 2000","1.8739"
"2000-03-30","30 Mar 2000","1.8591"
"2000-03-31","31 Mar 2000","1.8615"
"2000-04-03","03 Apr 2000","1.8650"
"2000-04-04","04 Apr 2000","1.8612"
"2000-04-05","05 Apr 2000","1.8887"
"2000-04-06","06 Apr 2000","1.8820"
"2000-04-07","07 Apr 2000","1.8736"
"2000-04-10","10 Apr 2000","1.8811"
"2000-04-11","11 Apr 2000","1.8845"
"2000-04-12","12 Apr 2000","1.8836"
"2000-04-13","13 Apr 2000","1.8803"
"2000-04-14","14 Apr 2000","1.8835"
"2000-04-17","17 Apr 2000","1.8917"
"2000-04-18","18 Apr 2000","1.8801"
"2000-04-19","19 Apr 2000","1.8748"
"2000-04-20","20 Apr 2000","1.8621"
"2000-04-25","25 Apr 2000","1.8564"
"2000-04-26","26 Apr 2000","1.8371"
"2000-04-27","27 Apr 2000","1.8368"
"2000-04-28","28 Apr 2000","1.8239"
"2000-05-02","02 May 2000","1.8318"
"2000-05-03","03 May 2000","1.7924"
"2000-05-04","04 May 2000","1.8017"
"2000-05-05","05 May 2000","1.7931"
"2000-05-08","08 May 2000","1.8059"
"2000-05-09","09 May 2000","1.8140"
"2000-05-10","10 May 2000","1.8428"
"2000-05-11","11 May 2000","1.8409"
"2000-05-12","12 May 2000","1.8342"
"2000-05-15","15 May 2000","1.8605"
"2000-05-16","16 May 2000","1.8463"
"2000-05-17","17 May 2000","1.8200"
"2000-05-18","18 May 2000","1.8286"
"2000-05-19","19 May 2000","1.8189"
"2000-05-22","22 May 2000","1.8489"
"2000-05-23","23 May 2000","1.8728"
"2000-05-24","24 May 2000","1.8704"
"2000-05-25","25 May 2000","1.8506"
"2000-05-26","26 May 2000","1.8851"
"2000-05-29","29 May 2000","1.9127"
"2000-05-30","30 May 2000","1.9354"
"2000-05-31","31 May 2000","1.9259"
"2000-06-01","01 Jun 2000","1.9339"
"2000-06-02","02 Jun 2000","1.9412"
"2000-06-05","05 Jun 2000","1.9597"
"2000-06-06","06 Jun 2000","1.9737"
"2000-06-07","07 Jun 2000","1.9899"
"2000-06-08","08 Jun 2000","2.0235"
"2000-06-09","09 Jun 2000","1.9817"
"2000-06-12","12 Jun 2000","1.9921"
"2000-06-13","13 Jun 2000","2.0071"
"2000-06-14","14 Jun 2000","2.0216"
"2000-06-15","15 Jun 2000","2.0022"
"2000-06-16","16 Jun 2000","2.0137"
"2000-06-19","19 Jun 2000","2.0328"
"2000-06-20","20 Jun 2000","2.0133"
"2000-06-21","21 Jun 2000","2.0012"
"2000-06-22","22 Jun 2000","1.9922"
"2000-06-23","23 Jun 2000","1.9963"
"2000-06-26","26 Jun 2000","1.9797"
"2000-06-27","27 Jun 2000","1.9977"
"2000-06-28","28 Jun 2000","2.0028"
"2000-06-29","29 Jun 2000","2.0267"
"2000-06-30","30 Jun 2000","2.0416"
"2000-07-03","03 Jul 2000","2.0277"
"2000-07-04","04 Jul 2000","2.0293"
"2000-07-05","05 Jul 2000","2.0418"
"2000-07-06","06 Jul 2000","2.0473"
"2000-07-07","07 Jul 2000","2.0360"
"2000-07-10","10 Jul 2000","2.0453"
"2000-07-11","11 Jul 2000","2.0482"
"2000-07-12","12 Jul 2000","2.0437"
"2000-07-13","13 Jul 2000","2.0142"
"2000-07-14","14 Jul 2000","2.0143"
"2000-07-17","17 Jul 2000","2.0178"
"2000-07-18","18 Jul 2000","2.0202"
"2000-07-19","19 Jul 2000","1.9919"
"2000-07-20","20 Jul 2000","1.9968"
"2000-07-21","21 Jul 2000","2.0295"
"2000-07-24","24 Jul 2000","2.0258"
"2000-07-25","25 Jul 2000","2.0453"
"2000-07-26","26 Jul 2000","2.0442"
"2000-07-27","27 Jul 2000","2.0497"
"2000-07-28","28 Jul 2000","2.0284"
"2000-07-31","31 Jul 2000","2.0238"
"2000-08-01","01 Aug 2000","2.0315"
"2000-08-02","02 Aug 2000","2.0080"
"2000-08-03","03 Aug 2000","1.9872"
"2000-08-04","04 Aug 2000","1.9912"
"2000-08-07","07 Aug 2000","2.0057"
"2000-08-08","08 Aug 2000","2.0014"
"2000-08-09","09 Aug 2000","1.9884"
"2000-08-10","10 Aug 2000","2.0082"
"2000-08-11","11 Aug 2000","2.0344"
"2000-08-14","14 Aug 2000","2.0108"
"2000-08-15","15 Aug 2000","2.0372"
"2000-08-16","16 Aug 2000","2.0314"
"2000-08-17","17 Aug 2000","2.0528"
"2000-08-18","18 Aug 2000","2.0535"
"2000-08-21","21 Aug 2000","2.0351"
"2000-08-22","22 Aug 2000","2.0289"
"2000-08-23","23 Aug 2000","2.0202"
"2000-08-24","24 Aug 2000","2.0487"
"2000-08-25","25 Aug 2000","2.0518"
"2000-08-28","28 Aug 2000","2.0565"
"2000-08-29","29 Aug 2000","2.0498"
"2000-08-30","30 Aug 2000","2.0402"
"2000-08-31","31 Aug 2000","2.0484"
"2000-09-01","01 Sep 2000","2.0519"
"2000-09-04","04 Sep 2000","2.0790"
"2000-09-05","05 Sep 2000","2.0624"
"2000-09-06","06 Sep 2000","2.0486"
"2000-09-07","07 Sep 2000","2.0204"
"2000-09-08","08 Sep 2000","2.0387"
"2000-09-11","11 Sep 2000","2.0111"
"2000-09-12","12 Sep 2000","2.0180"
"2000-09-13","13 Sep 2000","2.0330"
"2000-09-14","14 Sep 2000","2.0512"
"2000-09-15","15 Sep 2000","2.0363"
"2000-09-18","18 Sep 2000","2.0172"
"2000-09-19","19 Sep 2000","2.0257"
"2000-09-20","20 Sep 2000","2.0217"
"2000-09-21","21 Sep 2000","2.0317"
"2000-09-22","22 Sep 2000","2.1223"
"2000-09-25","25 Sep 2000","2.0979"
"2000-09-26","26 Sep 2000","2.0999"
"2000-09-27","27 Sep 2000","2.1290"
"2000-09-28","28 Sep 2000","2.1298"
"2000-09-29","29 Sep 2000","2.1187"
"2000-10-02","02 Oct 2000","2.1375"
"2000-10-03","03 Oct 2000","2.1292"
"2000-10-04","04 Oct 2000","2.1215"
"2000-10-05","05 Oct 2000","2.1314"
"2000-10-06","06 Oct 2000","2.1205"
"2000-10-09","09 Oct 2000","2.1185"
"2000-10-10","10 Oct 2000","2.1278"
"2000-10-11","11 Oct 2000","2.1298"
"2000-10-12","12 Oct 2000","2.1177"
"2000-10-13","13 Oct 2000","2.1141"
"2000-10-16","16 Oct 2000","2.0892"
"2000-10-17","17 Oct 2000","2.0843"
"2000-10-18","18 Oct 2000","2.0963"
"2000-10-19","19 Oct 2000","2.0722"
"2000-10-20","20 Oct 2000","2.0861"
"2000-10-23","23 Oct 2000","2.0673"
"2000-10-24","24 Oct 2000","2.0652"
"2000-10-25","25 Oct 2000","2.0559"
"2000-10-26","26 Oct 2000","2.0502"
"2000-10-27","27 Oct 2000","2.0569"
"2000-10-30","30 Oct 2000","2.1057"
"2000-10-31","31 Oct 2000","2.0914"
"2000-11-01","01 Nov 2000","2.1261"
"2000-11-02","02 Nov 2000","2.1469"
"2000-11-03","03 Nov 2000","2.1782"
"2000-11-06","06 Nov 2000","2.1619"
"2000-11-07","07 Nov 2000","2.1457"
"2000-11-08","08 Nov 2000","2.1395"
"2000-11-09","09 Nov 2000","2.1331"
"2000-11-10","10 Nov 2000","2.1633"
"2000-11-13","13 Nov 2000","2.1598"
"2000-11-14","14 Nov 2000","2.1519"
"2000-11-15","15 Nov 2000","2.1550"
"2000-11-16","16 Nov 2000","2.1523"
"2000-11-17","17 Nov 2000","2.1461"
"2000-11-20","20 Nov 2000","2.1333"
"2000-11-21","21 Nov 2000","2.1323"
"2000-11-22","22 Nov 2000","2.1239"
"2000-11-23","23 Nov 2000","2.1263"
"2000-11-24","24 Nov 2000","2.1305"
"2000-11-27","27 Nov 2000","2.1202"
"2000-11-28","28 Nov 2000","2.1637"
"2000-11-29","29 Nov 2000","2.1859"
"2000-11-30","30 Nov 2000","2.1997"
"2000-12-01","01 Dec 2000","2.2151"
"2000-12-04","04 Dec 2000","2.2599"
"2000-12-05","05 Dec 2000","2.2406"
"2000-12-06","06 Dec 2000","2.2442"
"2000-12-07","07 Dec 2000","2.2763"
"2000-12-08","08 Dec 2000","2.2635"
"2000-12-11","11 Dec 2000","2.2433"
"2000-12-12","12 Dec 2000","2.2404"
"2000-12-13","13 Dec 2000","2.2364"
"2000-12-14","14 Dec 2000","2.2616"
"2000-12-15","15 Dec 2000","2.2959"
"2000-12-18","18 Dec 2000","2.2515"
"2000-12-19","19 Dec 2000","2.2805"
"2000-12-20","20 Dec 2000","2.3229"
"2000-12-21","21 Dec 2000","2.3506"
"2000-12-22","22 Dec 2000","2.3806"
"2000-12-27","27 Dec 2000","2.4034"
"2000-12-28","28 Dec 2000","2.4023"
"2000-12-29","29 Dec 2000","2.4142"
"2001-01-02","02 Jan 2001","2.4467"
"2001-01-03","03 Jan 2001","2.4730"
"2001-01-04","04 Jan 2001","2.4572"
"2001-01-05","05 Jan 2001","2.4777"
"2001-01-08","08 Jan 2001","2.4733"
"2001-01-09","09 Jan 2001","2.4527"
"2001-01-10","10 Jan 2001","2.4550"
"2001-01-11","11 Jan 2001","2.4900"
"2001-01-12","12 Jan 2001","2.4973"
"2001-01-15","15 Jan 2001","2.4700"
"2001-01-16","16 Jan 2001","2.4684"
"2001-01-17","17 Jan 2001","2.4635"
"2001-01-18","18 Jan 2001","2.4744"
"2001-01-19","19 Jan 2001","2.4715"
"2001-01-22","22 Jan 2001","2.4468"
"2001-01-23","23 Jan 2001","2.4773"
"2001-01-24","24 Jan 2001","2.4517"
"2001-01-25","25 Jan 2001","2.4172"
"2001-01-26","26 Jan 2001","2.4237"
"2001-01-29","29 Jan 2001","2.4321"
"2001-01-30","30 Jan 2001","2.4366"
"2001-01-31","31 Jan 2001","2.4445"
"2001-02-01","01 Feb 2001","2.5028"
"2001-02-02","02 Feb 2001","2.5008"
"2001-02-05","05 Feb 2001","2.5023"
"2001-02-06","06 Feb 2001","2.4750"
"2001-02-07","07 Feb 2001","2.4963"
"2001-02-08","08 Feb 2001","2.4557"
"2001-02-09","09 Feb 2001","2.4657"
"2001-02-12","12 Feb 2001","2.4805"
"2001-02-13","13 Feb 2001","2.4817"
"2001-02-14","14 Feb 2001","2.4559"
"2001-02-15","15 Feb 2001","2.4372"
"2001-02-16","16 Feb 2001","2.4472"
"2001-02-19","19 Feb 2001","2.4750"
"2001-02-20","20 Feb 2001","2.4416"
"2001-02-21","21 Feb 2001","2.4604"
"2001-02-22","22 Feb 2001","2.4429"
"2001-02-23","23 Feb 2001","2.4455"
"2001-02-26","26 Feb 2001","2.4613"
"2001-02-27","27 Feb 2001","2.4754"
"2001-02-28","28 Feb 2001","2.5018"
"2001-03-01","01 Mar 2001","2.5130"
"2001-03-02","02 Mar 2001","2.5390"
"2001-03-05","05 Mar 2001","2.5253"
"2001-03-06","06 Mar 2001","2.5189"
"2001-03-07","07 Mar 2001","2.5273"
"2001-03-08","08 Mar 2001","2.5300"
"2001-03-09","09 Mar 2001","2.5390"
"2001-03-12","12 Mar 2001","2.5250"
"2001-03-13","13 Mar 2001","2.5030"
"2001-03-14","14 Mar 2001","2.5003"
"2001-03-15","15 Mar 2001","2.4716"
"2001-03-16","16 Mar 2001","2.4420"
"2001-03-19","19 Mar 2001","2.4562"
"2001-03-20","20 Mar 2001","2.4647"
"2001-03-21","21 Mar 2001","2.4580"
"2001-03-22","22 Mar 2001","2.4400"
"2001-03-23","23 Mar 2001","2.4497"
"2001-03-26","26 Mar 2001","2.4530"
"2001-03-27","27 Mar 2001","2.4591"
"2001-03-28","28 Mar 2001","2.4375"
"2001-03-29","29 Mar 2001","2.4302"
"2001-03-30","30 Mar 2001","2.4330"
"2001-04-02","02 Apr 2001","2.4203"
"2001-04-03","03 Apr 2001","2.4398"
"2001-04-04","04 Apr 2001","2.4942"
"2001-04-05","05 Apr 2001","2.4963"
"2001-04-06","06 Apr 2001","2.4758"
"2001-04-09","09 Apr 2001","2.5005"
"2001-04-10","10 Apr 2001","2.4815"
"2001-04-11","11 Apr 2001","2.4545"
"2001-04-12","12 Apr 2001","2.4600"
"2001-04-17","17 Apr 2001","2.4530"
"2001-04-18","18 Apr 2001","2.4522"
"2001-04-19","19 Apr 2001","2.4722"
"2001-04-20","20 Apr 2001","2.5167"
"2001-04-23","23 Apr 2001","2.5217"
"2001-04-24","24 Apr 2001","2.5149"
"2001-04-25","25 Apr 2001","2.5146"
"2001-04-26","26 Apr 2001","2.5348"
"2001-04-27","27 Apr 2001","2.5443"
"2001-04-30","30 Apr 2001","2.5060"
"2001-05-02","02 May 2001","2.5167"
"2001-05-03","03 May 2001","2.5182"
"2001-05-04","04 May 2001","2.5285"
"2001-05-07","07 May 2001","2.5258"
"2001-05-08","08 May 2001","2.5120"
"2001-05-09","09 May 2001","2.5011"
"2001-05-10","10 May 2001","2.5280"
"2001-05-11","11 May 2001","2.4920"
"2001-05-14","14 May 2001","2.4870"
"2001-05-15","15 May 2001","2.4963"
"2001-05-16","16 May 2001","2.5185"
"2001-05-17","17 May 2001","2.5127"
"2001-05-18","18 May 2001","2.5020"
"2001-05-21","21 May 2001","2.5078"
